,処理対象,No.,保険会社,保険商品,保険料,保険期間払込期間,特　徴,付加済
77,,78,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"3,890円",60歳60歳満了,※標準保険料率　特定疾病保険料払込免除遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
78,,79,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・非喫煙者標準体保険料率）,"3,905円",60歳60歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
79,,80,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(SD非喫煙者優良体),"3,940円",60歳満了60歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
80,,81,アフラック,GIFT（標準体保険料率/支払保証期間2年） 三大疾病保険料払込免除特約付き,"3,950円",60歳60歳払済,家族生活保障月払年金：月額10万円高度障害月払年金：月額10万円確定保証期間：2年,
81,,82,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(標準体),"4,020円",60歳満了60歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
82,,83,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(SD非喫煙者標準体),"4,030円",60歳満了60歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
83,,84,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(非喫煙者優良体),"4,030円",60歳満了60歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
84,,85,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・標準体）,"4,090円",60歳60歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
85,,86,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(非喫煙者標準体),"4,120円",60歳満了60歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
86,,87,東京海上日動あんしん生命,家計保障定期保険NEO 就業不能保障プラン(最低支払保証期間2年),"4,240円",60歳まで60歳まで,＊標準料率＊5疾病・重度介護家計保障特約(給付金：月額10万円/給付金支払期間2年)が付加されています。遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
87,,88,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(SD非喫煙者標準体),"4,290円",60歳満了60歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
88,,89,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・標準体）,"4,364円",60歳60歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
89,,90,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(非喫煙者標準体),"4,390円",60歳満了60歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
90,,91,東京海上日動あんしん生命,家計保障定期保険NEO 就業不能保障プランPlus(最低支払保証期間2年),"4,430円",60歳まで60歳まで,＊標準料率＊5疾病・障害・重度介護家計保障特約(給付金：月額10万円/給付金支払期間2年)が付加されています。遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
91,,92,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(標準体),"4,540円",60歳満了60歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
92,,93,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(標準体),"4,830円",60歳満了60歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
93,,94,チューリッヒ生命,収入保障保険プレミアムDX（非喫煙優良体型） 年金支払保証期間2年,"6,560円",60歳60歳満了,＊非喫煙優良体型＊就業不能状態保険料払込免除特約が付加されています。収入保障年金：月額10万円高度障害年金：月額10万円就業不能年金：月額10万円年金支払保証期間：2年※入力可能金額以上でお申込できる場合もありますので、詳細はチューリッヒ生命の設計システムにてご確認ください。,
94,,95,チューリッヒ生命,収入保障保険プレミアムDX（標準体型） 年金支払保証期間2年,"8,380円",60歳60歳満了,＊標準体型＊就業不能状態保険料払込免除特約が付加されています。収入保障年金：月額10万円高度障害年金：月額10万円就業不能年金：月額10万円年金支払保証期間：2年※入力可能金額以上でお申込できる場合もありますので、詳細はチューリッヒ生命の設計システムにてご確認ください。,
